ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
22;;Gants Tactiles Icebreaker Sierra Couleur Vin;Gants;29;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/11/vinosierra.jpg;;;;;;;;;;;;
23;;Gants Tactiles Icebreaker Sierra en Noir;Gants;21.95;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2013/06/Gants-Icebreaker-Sierra-Noir.jpg;;;;;;;;;;;;
24;;Gants en Gore-Tex et Cuir PATROL The North Face;Gants;107;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/patrol.jpg;;;;;;;;;;;;
25;;Gants en Cuir VENOM The North Face;Gants;116;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/venom.jpg;;;;;;;;;;;;
26;;Moufles d&rsquo;Gants;;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;Gants en Gore-Tex et Cuir de Ski VENGEANCE The North Face;Gants;179;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/gantveangeance.jpg;;;;;;;;;;;;
28;;Moufles en Gore-Tex et Cuir de Ski VENGEANCE MITT The North Face;Gants;174;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/TNFvengeancemitt.jpg;;;;;;;;;;;;
29;;Gants de Ski de Fond NORDIC RACE WS BONDED Ziener;Gants;59;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/nordicrace.jpg;;;;;;;;;;;;
30;;Gants de Ski en Cuir pour Femme KILDA AS Ziener;Gants;109;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/kildaziener.jpg;;;;;;;;;;;;
31;;Gants de Course pour Enfant Lest Ziener;Gants;99;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/GUEST_signalgreen.jpg;;;;;;;;;;;;
32;;Gants de Course en Cuir GALOS LOBSTER Ziener;Gants;89;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/GALOS_LOBSTER.jpg;;;;;;;;;;;;
33;;Gants de Ski de Fond NORDIC LOBSTER Ziener;Gants;59;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/nordiclobster.jpg;;;;;;;;;;;;
34;;Gants de Course Guest Ziener;Gants;139;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/GUEST_signalgreen.jpg;;;;;;;;;;;;
35;;Gants de Ski et Snow Montafon Ziener;Gants;69;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/MONTAFON_AS_black_neonorange.jpg;;;;;;;;;;;;
36;;Gants en Gore-Tex de Ski et Snow MAUI GTX(R) Ziener;Gants;79;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/Mauigtx.jpg;;;;;;;;;;;;
37;;Gants Chauffants Cuir Glenside AS PR Noir ou Blanc Ziener;Gants;249;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/glensideblanc-retouchés.jpg;;;;;;;;;;;;
38;;Gants Chauffants Ganins As Pr Ziener Noir ou Blanc;Gants;229;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/ganins-ziener.jpg;;;;;;;;;;;;
39;;Gants Chauffants Ski et Snow Gasper As Pr Ziener;Gants;199;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/gantschauffantsgasperetouchés.jpg;;;;;;;;;;;;
40;;Moufles Chauffantes Gabes As Pr Ziener;Gants;199;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/mouflesziener.jpg;;;;;;;;;;;;
41;;Gants Courts Norrona Narvik Dri1 Jungle Fever et Caviar;Gants;79;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/gants-courts-caviar-norrona.jpg;;;;;;;;;;;;
42;;Moufles Norrona Narvik Dri1 Long Jungle Fever Caviar;Gants;95;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/mouflescaviar.jpg;;;;;;;;;;;;
43;;Gants Norrona Narvik Dri1 Long Jungle Fever et Caviar;Gants;89;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/caviarlong114700.jpg;;;;;;;;;;;;
44;;Gants de Compétition En Cuir Ski Race CF Level;Gants;78;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2014/10/3022UG_01_race_cf_black.jpg;;;;;;;;;;;;
45;;Gants de Ski The North Face Steep Saiku;Gants;119;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2013/12/PN7982GIMPEROKSTEEPSAIKU1.jpg;;;;;;;;;;;;
46;;Moufles de Ski, d&rsquo;Gants;;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;Gants Alpha de Ski et d&rsquo;Gants;;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;Gants d&rsquo;Gants;;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;Gant Cuir Souple et Résistant;Gants;9.90;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2013/10/Gant-Comasec-Randonnée.jpg;;;;;;;;;;;;
50;;Gants Ski Nordique Femme Lafuma LD Bohla WS;Gants;26.50;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2013/10/Gant-Treking-Lafuma-LD-Bohla.jpg;;;;;;;;;;;;
51;;Gants ski nordique homme Lafuma Bohla WS;Gants;26.50;;;;;;01/06/2013;31/12/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://touslesgants.com/wp-content/uploads/2013/10/Gant-Treking-Lafuma-Bohla.jpg;;;;;;;;;;;;
